Awaji  (2326,2077)  (2388,2078)  (2379,2016)  (2486,1952)  (2441,2007)  (2448,2069)  | overflowToLeft=false
Osumi  (997,2126)  (928,2125)  (865,2110)  (816,2048)  (887,2049)  (951,2051)  (1018,2054)  (1083,2024)  (1119,1964)  (1184,1922)  (992,2198)  (933,2199)  (959,2264)  (896,2267)  (893,2341)  | overflowToLeft=false
Mikawa  (3679,2177)  (3742,2177)  (3615,2180)  (3679,2119)  (3680,2240)  (3611,2115)  (3742,2118)  (3744,2239)  (3803,2177)  (3678,2054)  (3615,2246)  (3550,2245)  (3553,2180)  (3609,2052)  (3744,2051)  (3807,2106)  (3808,2046)  (3765,1990)  (3831,1973)  (3484,2243)  (3471,2305)  (3456,2381)  (3545,2319)  (3614,2322)  (3676,2320)  (3744,2317)  (3687,2388)  (3754,2385)  (3794,2447)  | overflowToLeft=true
Tokugawa  (4067,2111)  (4129,2110)  (4006,2113)  (4189,2093)  (3943,2133)  (4070,2050)  (4070,2175)  (4003,2053)  (4006,2178)  (4131,2045)  (4129,2171)  (4154,2230)  (4204,2031)  (3937,2066)  (3960,1990)  (4026,1988)  (4090,1987)  (4156,1974)  (4231,1965)  (3996,1928)  (4059,1928)  (4125,1909)  (4192,1908)  (3940,2199)  (3897,2263)  (3875,2327)  (3958,2262)  | overflowToLeft=false
Takeda  (4586,1939)  (4645,1939)  (4525,1939)  (4587,1880)  (4590,2000)  (4527,1875)  (4525,2001)  (4646,2001)  (4650,1877)  (4585,1817)  (4642,1820)  (4627,1761)  (4556,1751)  (4567,1693)  (4509,1693)  (4502,1637)  (4470,2178)  (4533,2166)  (4598,2158)  (4512,2111)  (4571,2107)  (4635,2073)  | overflowToLeft=false
Izu  (4322,2256)  (4384,2255)  (4445,2285)  (4256,2261)  (4325,2318)  (4385,2315)  (4419,2381)  (4254,2192)  (4317,2192)  (4386,2189)  (4285,2128)  (4367,2127)  (4318,2062)  (4386,2063)  (4349,1999)  (4433,2002)  (4377,1935)  (4440,1926)  (4260,2327)  (4195,2352)  (4133,2411)  (4071,2460)  (4042,2523)  (3987,2581)  (4261,2391)  (4197,2427)  (4131,2471)  (4142,2539)  (4082,2592)  (4010,2649)  | overflowToLeft=true
Nagato  (1409,1124)  (1472,1124)  (1345,1125)  (1542,1122)  (1280,1118)  (1463,1192)  (1349,1062)  (1395,1193)  (1413,1061)  (1530,1194)  (1480,1061)  (1546,1062)  (1281,1051)  (1211,1101)  (1602,1000)  (1499,1255)  (1564,1270)  (1546,1335)  (1588,1400)  (1292,990)  | overflowToLeft=true
Kozuke  (4673,1479)  (4733,1481)  (4611,1477)  (4673,1420)  (4674,1538)  (4614,1538)  (4611,1417)  (4736,1419)  (4736,1543)  (4793,1488)  (4797,1423)  (4857,1422)  (4857,1484)  (4802,1548)  (4920,1453)  (4921,1389)  (4778,1613)  (4748,1675)  (4717,1614)  (4654,1652)  (4593,1603)  (4550,1420)  (4548,1482)  (4551,1541)  (4490,1411)  (4485,1472)  (4491,1538)  (4425,1472)  (4425,1407)  (4617,1353)  (4553,1353)  (4479,1343)  (4413,1349)  (4351,1380)  | overflowToLeft=true
Hizen  (577,1439)  (641,1439)  (508,1440)  (530,1376)  (597,1379)  (665,1378)  (650,1315)  (517,1315)  (639,1501)  (642,1563)  (656,1629)  (576,1502)  (576,1561)  (512,1575)  (505,1508)  | overflowToLeft=true
Awa  (2054,2164)  (2112,2164)  (1992,2164)  (1826,2033)  (1889,2070)  (1951,2095)  (2017,2101)  (2003,2229)  (2032,2286)  (2073,2223)  (2100,2284)  (2174,2159)  (2155,2227)  | overflowToLeft=false
Chikuzen  (1015,1364)  (1085,1364)  (1154,1371)  (945,1364)  (877,1362)  (812,1339)  (891,1294)  (935,1426)  (959,1302)  (1002,1435)  (1029,1299)  (1071,1438)  (1099,1290)  (1139,1442)  (1207,1435)  (1103,1225)  (1035,1227)  (967,1226)  (807,1273)  (742,1299)  (952,1498)  (1004,1558)  (1023,1499)  (1086,1503)  (1078,1569)  | overflowToLeft=false
Dewa  (5145,744)  (5207,744)  (5082,743)  (5121,801)  (5182,805)  (5245,806)  (5242,681)  (5179,681)  (5119,680)  (5054,679)  (5052,616)  (5120,615)  (5180,614)  (5246,615)  (5238,550)  (5174,548)  (5111,549)  (5147,488)  (5214,488)  (5157,421)  (5224,406)  (5017,755)  (5056,812)  (5135,868)  (5196,868)  (5256,868)  (5241,929)  (5173,935)  (5110,955)  (5202,998)  (5141,1013)  (5077,1016)  (4832,1111)  (4895,1112)  (4958,1113)  (5005,1049)  (5021,1115)  (5079,1124)  (5136,1068)  | overflowToLeft=false
Oda  (3317,2150)  (3379,2149)  (3254,2149)  (3319,2092)  (3319,2211)  (3254,2088)  (3383,2210)  (3254,2213)  (3383,2087)  (3280,2276)  (3273,2341)  (3238,2408)  (3446,2142)  (3451,2076)  (3263,2017)  (3335,2019)  (3395,2012)  (3461,2007)  (3271,1945)  (3331,1941)  (3390,1937)  (3457,1941)  (3278,1879)  (3339,1857)  (3405,1870)  (3525,1929)  (3202,2272)  (3189,2332)  (3166,2398)  (3106,2450)  (3046,2491)  (2973,2577)  | overflowToLeft=false
Hojo  (4750,2401)  (4809,2400)  (4689,2402)  (4752,2338)  (4818,2336)  (4883,2336)  (4755,2459)  (4686,2465)  (4617,2462)  (4737,2272)  (4807,2272)  (4871,2271)  (4683,2332)  (4617,2389)  (4827,2469)  (4571,2528)  (4640,2528)  (4702,2529)  (4767,2529)  (4545,2596)  (4609,2622)  (4684,2592)  (4748,2590)  (4878,2402)  (4952,2351)  (4948,2287)  (4911,2211)  (4981,2210)  (5014,2273)  (5017,2338)  (5083,2323)  | overflowToLeft=false
Bizen  (2284,1470)  (2347,1471)  (2413,1472)  (2225,1470)  (2159,1469)  (2479,1473)  (2093,1464)  (2141,1406)  (2481,1538)  (2205,1399)  (2417,1537)  (2268,1402)  (2343,1536)  (2336,1407)  (2281,1537)  (2404,1405)  (2216,1538)  (2476,1405)  (2150,1534)  (2312,1336)  (2091,1533)  (2240,1335)  (2141,1604)  (2214,1607)  (2148,1327)  (2281,1605)  (2346,1603)  (2348,1272)  (2414,1235)  (2388,1339)  (2457,1333)  (2521,1345)  (2415,1604)  (2477,1606)  (2444,1674)  | overflowToLeft=false
Shinano  (4175,1649)  (4235,1651)  (4111,1650)  (4175,1713)  (4173,1589)  (4236,1586)  (4112,1711)  (4110,1588)  (4240,1713)  (4046,1651)  (4303,1650)  (4172,1528)  (4177,1779)  (4232,1527)  (4109,1522)  (4176,1462)  (4256,1457)  (4209,1399)  (4313,1521)  (4309,1580)  (4375,1574)  (4373,1638)  (3978,1650)  (4041,1715)  (3970,1712)  (4097,1772)  (4026,1773)  (3955,1775)  (3876,1769)  (3880,1832)  (3958,1850)  (4242,1782)  (4300,1720)  (4366,1712)  (4431,1746)  (4306,1790)  (4266,1852)  (4325,1853)  (4368,1788)  (4429,1830)  | overflowToLeft=false
Iwami  (1884,1035)  (1950,1024)  (1818,1030)  (2012,1019)  (1751,1034)  (2077,1019)  (1687,1049)  (2135,999)  (1753,1097)  (2019,948)  (1818,1093)  (2079,935)  (1884,1096)  (1955,945)  (1993,1081)  (2144,924)  (2057,1085)  (1891,952)  (1685,1116)  (1822,963)  (1748,1167)  (1824,1163)  | overflowToLeft=false
Kawachi  (3034,1606)  (3098,1603)  (2971,1602)  (3162,1622)  (2907,1599)  (3101,1668)  (3067,1545)  (2850,1624)  (3165,1687)  (3003,1545)  (3096,1731)  (2942,1538)  (3162,1746)  (2781,1608)  (3090,1798)  (2849,1560)  (2788,1543)  (3151,1813)  (3219,1813)  (3018,1483)  (2876,1487)  (3235,1739)  | overflowToLeft=false
Yamashiro  (3305,1284)  (3249,1225)  (3321,1224)  (3388,1222)  (3379,1283)  (3381,1351)  (3304,1349)  (3226,1349)  (3238,1287)  (3169,1283)  (3179,1417)  (3457,1397)  (3454,1335)  (3455,1268)  (3457,1192)  (3282,1157)  (3353,1157)  (3419,1125)  (3521,1332)  (3086,1261)  (3097,1421)  (3523,1398)  (3519,1476)  | overflowToLeft=false
Izumo  (2352,1069)  (2416,1070)  (2481,1074)  (2549,1077)  (2515,1006)  (2443,1008)  (2375,1006)  (2302,1005)  (2231,1004)  (2280,1072)  (2208,1077)  (2171,1137)  (2168,1199)  (2246,1222)  (2242,1150)  (2306,1150)  (2371,1137)  (2468,1146)  (2537,1141)  (2576,1204)  (2612,1281)  (2488,1208)  (2540,1265)  (2439,940)  | overflowToLeft=false
Shimosa  (4805,2009)  (4865,2011)  (4805,1947)  (4745,1946)  (4741,2013)  (4868,1952)  (4762,1883)  (4753,1826)  (4709,1765)  (4804,2071)  (4746,2120)  (4694,2172)  (4810,2139)  (4875,2131)  (4868,2073)  (4935,2086)  | overflowToLeft=false
Mori  (1887,1363)  (1949,1364)  (2011,1345)  (1821,1348)  (1761,1357)  (1698,1354)  (1831,1280)  (1763,1285)  (1700,1284)  (1640,1236)  (1896,1288)  (1955,1282)  (1937,1219)  (2024,1279)  (2013,1211)  (1808,1424)  (1875,1433)  (1944,1437)  (1992,1500)  (1981,1568)  (1924,1506)  (1860,1500)  (1793,1497)  | overflowToLeft=true
Iyo  (1629,1889)  (1687,1891)  (1745,1893)  (1759,1835)  (1696,1825)  (1625,1815)  (1558,1884)  (1727,1964)  (1663,1992)  (1602,1963)  (1543,1986)  (1483,1938)  (1449,2000)  | overflowToLeft=true
Yamato  (2653,2325)  (2715,2326)  (2657,2384)  (2592,2332)  (2647,2263)  (2720,2260)  (2719,2387)  (2592,2396)  (2582,2266)  (2785,2267)  (2784,2331)  (2783,2401)  (2661,2449)  (2529,2367)  (2519,2291)  | overflowToLeft=true
Sado  (4393,719)  (4393,658)  (4333,689)  (4337,821)  (4401,804)  (4458,765)  (4460,634)  | overflowToLeft=false
Azai  (3654,1159)  (3711,1160)  (3589,1160)  (3655,1099)  (3655,1218)  (3584,1097)  (3593,1225)  (3727,1224)  (3720,1095)  (3686,1026)  (3616,1034)  (3658,958)  (3723,926)  (3793,922)  (3784,857)  (3862,857)  (3861,920)  (3923,917)  (3924,859)  (3518,1054)  (3621,1293)  (3644,1361)  (3686,1300)  (3748,1329)  (3788,1268)  (3990,875)  | overflowToLeft=false
Iga  (3063,2129)  (3121,2101)  (3055,2070)  (3033,2011)  (3049,1952)  (3009,2188)  (3099,2012)  (3112,1941)  (3173,1947)  (3164,2014)  (3069,2189)  (3106,2247)  (3044,2249)  (2989,2306)  (3064,2314)  | overflowToLeft=false
